name	tissue	sample	TRAV1	TRAV10	TRAV10D	TRAV10N	TRAV11	TRAV11D	TRAV11N	TRAV12-2	TRAV12-4	TRAV12D-1	TRAV12D-2	TRAV12N-1	TRAV12N-2	TRAV12N-3	TRAV13-1	TRAV13-2	TRAV13-4-DV7	TRAV13D-2	TRAV13D-3	TRAV13D-4	TRAV13N-2	TRAV13N-4	TRAV14-1	TRAV14-2	TRAV14-3	TRAV14D-1	TRAV14D-2	TRAV14D-3-DV8	TRAV14N-1	TRAV14N-2	TRAV14N-3	TRAV15-1-DV6-1	TRAV15-2-DV6-2	TRAV15D-1-DV6D-1	TRAV15D-2-DV6D-2	TRAV15N-1	TRAV15N-2	TRAV16D-DV11	TRAV16N	TRAV17	TRAV19	TRAV2	TRAV21/DV12	TRAV3-1	TRAV3-2	TRAV3-3	TRAV3-4	TRAV3D-2	TRAV3D-3	TRAV3N-2	TRAV3N-3	TRAV4-1	TRAV4-2	TRAV4-3	TRAV4-4-DV10	TRAV4D-2	TRAV4D-3	TRAV4D-4	TRAV4N-3	TRAV4N-4	TRAV5-1	TRAV5-2	TRAV5-4	TRAV5D-4	TRAV5N-4	TRAV6-1	TRAV6-2	TRAV6-3	TRAV6-4	TRAV6-5	TRAV6-6	TRAV6-7-DV9	TRAV6D-3	TRAV6D-4	TRAV6D-5	TRAV6D-6	TRAV6D-7	TRAV6N-5	TRAV6N-6	TRAV6N-7	TRAV7-1	TRAV7-2	TRAV7-3	TRAV7-4	TRAV7-5	TRAV7-6	TRAV7D-2	TRAV7D-3	TRAV7D-4	TRAV7D-5	TRAV7N-4	TRAV7N-5	TRAV7N-6	TRAV8-1	TRAV8-2	TRAV8D-1	TRAV8D-2	TRAV8N-2	TRAV9-1	TRAV9-2	TRAV9-4	TRAV9D-1	TRAV9D-2	TRAV9D-3	TRAV9N-1	TRAV9N-2	TRAV9N-3	TRAV9N-4	
TCR10	blood	blood	0.0027746	0.013421	0.010179	0.011378	0.011017	0.0049016	0.013369	0.036138	2.1138e-06	0.0040673	0.0015427	0.0056402	0.0015676	0.0076458	0.00042256	0.00037796	0.0019982	0.0010717	0	0.00037161	0.0010297	1.2683e-05	0.048842	0.033229	0.0080683	0.00081087	0.0004196	0.025238	0.014423	0.00040332	0.050237	0.0015611	0.0001002	0.00077663	4.5236e-05	0.0007576	6.4895e-05	0.0068028	0.020348	0.0082328	0.0068007	0.0037827	0.0012789	0.0027146	8.4554e-07	0.021211	5.1155e-05	0	0.0027197	0	0.0038686	0.0041484	0.010723	0	0	0.00032173	0.024323	0.00077768	0.016202	0.0073027	0.020931	8.4554e-07	0.011139	0.007097	0.017607	0.011398	0.015388	0.0020153	0.024103	0.016048	0.000843	0.012473	0.00040628	0.049273	0.014504	0.0005997	0.0039607	0.00073372	0.00039698	0.0035857	0.0029723	0.0043518	0.0070137	0.0062473	0.0064897	0.00044116	0.0035403	0.0066867	0.0077046	0.010004	0.00021899	0.0084385	0.00011203	0.0056167	6.9334e-05	0.0070476	0.0024804	0.00082821	0.062023	5.348e-05	0.10858	0.056233	0.00082969	0.0028972	0.0087701	0.0015378	0.0024933	0.0082996	
TCR16	blood	Day21-1	0.0025952	0.0096163	0.0078794	0.0099971	0.0028351	0.0012862	0.0026698	0.040532	9.6055e-07	0.0077084	0.0056094	0.010908	0.0060089	0.005447	0.0018601	0.0017189	0.0074707	0.0034781	0	0.0018812	0.0059078	5.6192e-05	0.051114	0.036149	0.01116	0.00030401	0.00040823	0.029327	0.013329	0.00040751	0.055601	0.0013311	0.00023269	0.00047115	0.00017578	0.00044089	0.00016641	0.011987	0.028206	0.0034472	0.0049728	0.0039003	0.0031926	0.0042163	9.6055e-07	0.031639	1.9211e-06	0	0.004012	0	0.0044154	0.002934	0.0084944	1.2007e-06	0	0.0006246	0.012262	0.00012511	0.0077703	0.0059427	0.016009	7.2041e-07	0.010882	0.0062114	0.016595	0.0095678	0.013386	0.0031881	0.022815	0.02932	0.0025651	0.008289	0.00065533	0.020363	0.013755	0.0020822	0.0057455	0.0020731	0.00074923	0.0049773	0.0040072	0.012841	0.019599	0.018986	0.0020056	0.0010893	0.0096336	0.01001	0.022104	0.0096021	0.00057008	0.011005	4.6587e-05	0.0051716	6.0274e-05	0.0069832	0.0041599	0.0014797	0.0483	1.5609e-05	0.095202	0.040697	0.00081262	0.00017986	0.0020313	0.0017285	0.00034099	0.0078765	
TCR30	blood	Day21-2	0.0023093	0.0115	0.0092892	0.011686	0.002066	0.0011934	0.0021945	0.033816	3.9594e-07	0.0058964	0.0049277	0.007955	0.0049503	0.0044967	0.0015897	0.0013521	0.0058395	0.0029268	3.9594e-07	0.0012185	0.0038929	4.9691e-05	0.048954	0.029366	0.012985	0.00044484	0.00046959	0.02459	0.012758	0.00047671	0.053884	0.0010688	0.00025083	0.00043356	0.00018035	0.00044147	0.00019282	0.0078384	0.018177	0.001677	0.0037345	0.0030582	0.0027219	0.0026296	1.3858e-06	0.020596	1.1482e-05	0	0.0026106	0	0.0029224	0.004704	0.012768	4.9493e-06	3.9594e-07	0.0011496	0.019192	0.00023855	0.01266	0.0090587	0.01261	1.9797e-06	0.010996	0.0074312	0.01471	0.011102	0.014518	0.0028466	0.023826	0.036706	0.0028488	0.0071911	0.00054283	0.022165	0.014911	0.0025602	0.0059498	0.0027068	0.0011585	0.0049889	0.0074312	0.012556	0.018684	0.019619	0.0022216	0.0010207	0.0097405	0.010196	0.022305	0.0093593	0.00062539	0.010337	4.7315e-05	0.0056018	4.0584e-05	0.0067383	0.0045145	0.0018714	0.059035	4.7909e-05	0.10097	0.049914	0.0010572	0.00052185	0.0023527	0.0018506	0.00056837	0.009603	
TCR18	blood	Day28	0.0017629	0.0080883	0.0066573	0.0083945	0.00343	0.0015017	0.0033926	0.045858	0	0.008973	0.0053396	0.01265	0.0059058	0.0063236	0.0015882	0.0016087	0.0074952	0.0031233	0	0.0017676	0.0055681	3.5644e-05	0.048	0.033997	0.010642	0.00026003	0.00038566	0.026817	0.013288	0.00038157	0.052937	0.0015087	0.00026587	0.00051947	0.00019341	0.00044584	0.00019458	0.01202	0.028213	0.0037128	0.0048686	0.0042311	0.0031542	0.0045712	4.6747e-06	0.036868	1.2271e-05	0	0.0043942	0	0.0047798	0.0030812	0.008121	1.753e-06	0	0.00055219	0.01278	9.4077e-05	0.0080281	0.0059275	0.013416	0	0.011121	0.0063528	0.017069	0.0090612	0.01228	0.0029637	0.020905	0.030136	0.0022561	0.0071633	0.00056797	0.018513	0.012308	0.0017314	0.0054027	0.0018699	0.00064861	0.0045379	0.0034072	0.012301	0.018103	0.017596	0.0013796	0.00078534	0.0092219	0.0091343	0.020669	0.008467	0.00079235	0.010145	3.3307e-05	0.0048564	6.8367e-05	0.006364	0.0047594	0.0014188	0.053515	1.2855e-05	0.10602	0.045708	0.00077365	0.00014842	0.0016741	0.0015526	0.00031262	0.0077582	
TCR20	blood	Day42-1	0.0018464	0.0089439	0.0068179	0.0099619	0.0013023	0.00050313	0.0006798	0.045648	0	0.011374	0.0035266	0.01191	0.0034704	0.0052196	0.0048534	0.00097349	0.012035	0.0057614	0	0.0008752	0.0087836	3.1592e-05	0.050131	0.03548	0.013916	0.00034517	0.0001954	0.028399	0.0078066	0.00016732	0.052928	0	0.00088457	0	0.00050547	0	0.00050781	0.014895	0.028961	0.0007231	0.01065	0.0082127	0.0043433	0.0037688	4.6802e-06	0.057748	0.00012754	0	0.0042192	0	0.0046732	0.0027859	0.0095138	0	0	5.2653e-05	0.016604	0.00045632	0.0099256	0.0066167	0.012747	0	0.0097396	0.0070426	0.017219	0.0057052	0.017655	0.0023366	0.010524	0.021659	0.0018768	0.0073363	0.0061545	0.010277	0.017477	0.0014637	0.0039115	0.0018698	0.00054642	0.0036974	0.0027216	0.015923	0.013747	0.010086	0.004087	0.0012414	0.012837	0.0087228	0.014472	0.010889	0.0014415	0.010299	9.3605e-05	0.0067407	0.0004376	0.0088059	0.011532	0.00035804	0.046158	9.1265e-05	0.082358	0.040945	0.0013818	0.00067395	0.0013994	0.0015468	0.00067044	0.011038	
TCR32	blood	Day42-2	0.0029482	0.011262	0.0092341	0.011967	0.0057497	0.0022307	0.0065426	0.036836	1.267e-06	0.0070583	0.004797	0.0097717	0.0049895	0.0050192	0.0015452	0.0013971	0.0066544	0.0029311	0	0.001558	0.0048059	5.4137e-05	0.045836	0.028656	0.011636	0.00037286	0.00045521	0.023243	0.011516	0.00045452	0.051117	0.00085284	0.00022001	0.00031273	0.0001661	0.00031054	0.00016967	0.01155	0.026772	0.0016806	0.0038254	0.005016	0.0032317	0.0034784	6.9112e-06	0.025617	9.7908e-06	2.3037e-07	0.0034388	0	0.0037608	0.0038215	0.010283	2.7645e-06	6.9112e-07	0.0009375	0.014929	0.00016978	0.0097323	0.007699	0.012193	1.1519e-06	0.009781	0.0060066	0.014065	0.011258	0.013743	0.0026694	0.023499	0.036007	0.0029787	0.0069997	0.00063283	0.02186	0.01472	0.0025794	0.0059932	0.002766	0.00090847	0.0048022	0.0073128	0.012887	0.020046	0.021589	0.0020568	0.0011522	0.0093725	0.011171	0.024873	0.0099998	0.00097804	0.01097	5.4829e-05	0.0052693	5.4022e-05	0.0067041	0.0044509	0.0018687	0.053527	2.3959e-05	0.095177	0.045196	0.00075931	0.00032287	0.0018905	0.0016271	0.00039474	0.0081726	
TCR38	blood	Endstage	0.0017726	0.011155	0.0088811	0.01019	0.0039349	0.00075878	0.0027648	0.019764	6.518e-07	0.0043556	0.0043062	0.0070344	0.0031839	0.0055704	0.0037315	4.7395e-05	0.009205	0.0035868	0	0.00086949	0.0050845	0.00010708	0.034651	0.014871	0.0060058	6.3503e-05	0.00014805	0.012513	0.0025101	0.00015178	0.037256	0.00051324	0	0.00011723	0	0.00012878	0	0.014047	0.011518	0.0017547	0.010045	0.0069036	0.0043869	0.0098751	1.676e-06	0.054081	4.0039e-05	0	0.0085066	0	0.0093169	0.0090318	0.01903	0	0	0.0023277	0.025871	0.00026239	0.016765	0.011623	0.0054625	1.2943e-05	0.014983	0.0084068	0.019978	0.0057541	0.017458	0.0046568	0.01741	0.03003	0.0037223	0.0041184	0.00097946	0.020689	0.019807	0.0031261	0.0053749	0.0031263	0.001158	0.0041061	0.0073516	0.0074645	0.013347	0.015367	0.0017438	0.00056753	0.0053558	0.0081081	0.018603	0.014766	8.2778e-05	0.011375	3.7897e-05	0.0047482	2.5979e-05	0.0092113	0.0091617	0.0073677	0.063455	3.9387e-05	0.10603	0.058015	0.00096186	0.00029638	0.0019242	0.002352	0.00019554	0.011068	
TCR17	brain	Day21-1	0.026022	0	0	0	0.0061582	0.0014701	0.029269	0.004717	1.1576e-05	0.00017363	0.0014238	0.00072926	0.0010186	0.0044624	0.00020257	0.0048617	0.0059151	8.1029e-05	0	1.7363e-05	8.1029e-05	0.00015627	0.080959	0.016923	0.012837	0.0072521	0.00014469	0.01444	0.0029981	0.00014469	0.026386	0	0	0	0	0	0	0.0032238	0.015042	0.017195	0	0	0	2.3151e-05	0	0.018596	0	0	0	0	0	0.0047112	0.067619	0	0	0.000191	0.082302	0.0010129	0.026687	0.012924	0.045035	0	8.1029e-05	0.00012154	1.1576e-05	0.027284	0.019702	0	0.0018231	0.020836	0.0009955	0.019574	0	0.0033627	0.026867	0.00085659	0.0036058	0.00094919	0.00034148	0.0074604	0.001117	0.0053884	0.0080682	0.012994	0.017248	0.0027666	0.014307	0.0078945	0.0079235	0.026977	1.1576e-05	0.017844	0	0	0	0	0	0	0.060575	2.8939e-05	0.03512	0.06675	0.00096077	0.013798	0.0057473	0.003108	0.0016611	0.012421	
TCR31	brain	Day21-2	0.0015831	0.0088612	0.0075356	0.0082427	0.017841	0.0068665	0.023073	0.047001	0	0.0043968	0.001239	0.003447	0.0011947	0.0063113	0.00010132	0.00023852	0.0018575	0.00050237	0	0.00012454	0.00070079	0	0.022719	0.015576	0.0030353	0.00060369	0.00029551	0.015118	0.010797	0.00025119	0.027647	0.0027377	4.6438e-05	0.0011947	3.3773e-05	0.00073245	4.4327e-05	0.0040739	0.0061973	0.011018	0	0.0016528	0.0025857	0.0026364	0	0.012435	4.2216e-05	0	0.0025773	0	0.0028074	0.013184	0.023308	0	0	0.00094142	0.045045	0.00053192	0.037923	0.019158	0.0092348	1.6887e-05	0.0052686	0.003772	0.0080865	0.029003	0.017245	0.004114	0.011409	0.040481	0.0026575	0.028785	0.00010132	0.023059	0.020718	0.0023683	0.016352	0.0026111	0.0010216	0.015797	0.0063282	0.0045889	0.0040633	0.0086776	0.001009	0.00042005	0.0031282	0.0057963	0.010693	0.0027419	0.00015409	0.0038945	1.2665e-05	0.0040443	1.8997e-05	0.0048549	0.00052137	0.00028496	0.064574	6.7546e-05	0.14987	0.041657	0.00045594	0.00066068	0.0042491	0.00051082	0.0010195	0.0055388	
TCR19	brain	Day28	0.0011513	0.007937	0.004084	0.0062348	0.0028469	0.0010325	0.0050604	0.044924	0	0.0035133	0.0027908	0.0064525	0.0033483	0.0068418	0.00076863	0.0005773	0.0018902	0.0021113	0	0.001336	0.0026952	6.5977e-06	0.055787	0.020103	0.0056014	0.0079007	4.2885e-05	0.020446	0.01244	2.3092e-05	0.032431	0.0015966	4.9483e-05	0.0012635	2.6391e-05	0.0008742	5.608e-05	0.0095898	0.026599	0.0075544	0.0050571	0.014399	0.0033021	0.0052386	6.5977e-06	0.017194	0.00020783	0	0.0019232	0	0.0016824	0.0043017	0.023214	0	0	0.00031669	0.036406	0.00063008	0.021268	0.0073927	0.010761	0	0.013868	0.035354	0.01853	0.0082636	0.018503	0.0041566	0.015383	0.023171	0.0014053	0.018223	9.5667e-05	0.031365	0.023844	0.0012239	0.0054233	0.0012997	0.00019133	0.0068748	0.003863	0.0055718	0.01049	0.0084385	0.0044897	0.00041236	0.0081251	0.012344	0.0094842	0.0031306	0.00035628	0.0043149	5.2782e-05	0.011701	0.0013063	0.0098372	0.0055124	0.0022597	0.084193	0	0.074947	0.040345	0.00035957	0.0012107	0.0014482	0.00083461	0.0005806	0.005928	
TCR21	brain	Day42-1	0.00030002	0.0025364	0.0010017	0.0013579	0.00055462	0.00022711	0.0006084	0.0036672	2.3906e-06	0.00091081	8.128e-05	0.00057613	6.9327e-05	0.0011606	8.6061e-05	2.3906e-06	0.00027014	0.00025699	0	1.4344e-05	0.00017093	2.3906e-06	0.028791	0.014387	0.025101	0.00016256	0	0.014008	0.0011212	4.7812e-06	0.035495	0.00011594	0	3.9445e-05	2.3906e-06	6.096e-05	0	0.00059047	0.0011618	0.00056179	0.00076738	8.2475e-05	0.0003311	0.00021276	9.5623e-06	0.0015515	0	0	0.00016854	0	0.00017571	0.0015216	0.001432	0	0	2.1515e-05	0.0046353	0.00010638	0.0022567	0.0013865	0.0057577	5.9765e-06	0.18537	0.17508	0.40821	0.0013794	0.0043592	0.00059167	0.0044871	0.0029739	0.00026296	0.0075172	2.032e-05	0.0081292	0.0052796	0.00027014	0.0011582	0.00024504	6.9327e-05	0.00094906	0.00016973	0.00051637	0.00067295	0.00064785	0.00029763	5.7374e-05	0.00043867	0.00059047	0.00090125	0.00095145	1.1953e-05	0.00069327	0	0.0008893	2.3906e-06	0.0015778	0.00012431	4.4226e-05	0.0062705	0	0.015371	0.0063016	2.7492e-05	6.4546e-05	0.0006084	7.2913e-05	5.9765e-05	0.00040042	
TCR33	brain	Day42-2	0.0025857	0.023553	0.0181	0.024896	0.016203	0.0053023	0.022125	0.032335	0	0.0025175	0.00077373	0.0076605	0.00071115	0.0047277	0.00084485	0.00040109	0.0023781	0.00044945	0	0.00058314	0.00059168	2.5601e-05	0.037017	0.024458	0.00454	0.00020197	3.9824e-05	0.021243	0.0077544	1.7068e-05	0.044771	0	0	0	0	0	0	0.0042441	0.01226	0.022236	0.005271	0.0073618	0.0022586	0.0036468	0	0.041193	1.7068e-05	0	0.0035387	0	0.0048045	0.0037179	0.0073988	0	0	0.00016783	0.015802	0.00032428	0.012533	0.0068953	0.013939	9.9561e-05	0.010465	0.0078881	0.016581	0.028816	0.025189	1.1378e-05	0.0079734	0.02724	0.0010241	0.018359	5.6892e-06	0.014894	0.024617	0.001135	0.010087	0.0011037	0.00056323	0.0091881	0.0020709	0.0018376	0.01531	0.0076378	0.0017836	0.0005547	0.0016755	0.019201	0.011114	0.0054787	0.0016413	0.0074955	0.0001593	0.0072111	5.6892e-06	0.0085765	7.9649e-05	0.00095294	0.046401	5.9737e-05	0.1184	0.038066	0.0016499	0.00019628	0.0075951	0.0050748	0.00021335	0.0098964	
TCR39	brain	Endstage	0.00040497	0.012343	0.0085484	0.0076592	0.011119	0.002377	0.014015	0.035672	0	0.0058897	0.002914	0.0063915	0.002826	0.0093759	0.00019368	0.00044899	0.0030637	0.00051061	0	0.00053702	0.001391	1.7607e-05	0.039933	0.022555	0.0074303	0.00018488	0	0.018664	0.001928	0	0.044168	0.00028172	0	0.00013206	0	9.684e-05	0	0.0074655	0.0089709	0.0050621	0.0022802	0.0012149	0.0010652	0.0026147	0	0.023867	1.7607e-05	0	0.00094199	0	0.0019896	0.0032486	0.0086012	0	0	0.00012325	0.022141	0.00089797	0.01398	0.0082314	0.008249	0.00058104	0.011339	0.0099129	0.021639	0.024386	0.011383	0.0027732	0.014015	0.015723	0.00092439	0.013056	0.00036975	0.025733	0.010476	0.00083635	0.0070429	0.00070429	0.00017607	0.0083723	0.0013822	0.0024122	0.0043402	0.0064003	0.0069989	0.00034334	0.0016727	0.0063034	0.0075888	0.021067	5.2822e-05	0.025953	0	0.0045867	8.8037e-05	0.00677	0.0053702	0.0026323	0.066133	0.00020248	0.17139	0.066054	0.0019104	0.00046659	0.017229	0.0026763	0.00022009	0.0082754	
